#{"t_start": 1727647854.4615552, "env_id": "None"}
r,l,t
0.0,2,4.914271
0.0,9,4.918571
0.0,17,4.926946
-1.0,6,4.929927
0.0,10,4.93519
0.0,3,4.936672
-1.0,12,4.942682
0.0,7,4.946084
0.0,9,4.950984
0.0,4,4.952931
0.0,6,4.956083
0.0,8,4.95999
-1.0,6,4.962859
1.0,16,4.971292
0.0,10,4.976145
0.0,4,4.978117
-1.0,17,4.986925
-1.0,3,4.988556
1.0,12,4.994413
-1.0,5,4.997626
1.0,29,5.011609
-1.0,18,5.020947
0.0,18,5.029636
-1.0,15,5.037437
-1.0,17,5.045674
-1.0,9,5.050507
0.0,19,5.059783
-1.0,17,5.068505
1.0,21,5.078535
-1.0,33,5.096695
0.0,26,5.111578
-1.0,10,5.118164
-1.0,21,5.128517
0.0,17,5.137329
0.0,5,5.140019
-1.0,14,5.147606
-1.0,13,5.153854
0.0,6,5.158503
0.0,12,5.16575
0.0,17,5.17504
-1.0,7,5.178531
-1.0,28,5.193454
-1.0,10,5.203651
-1.0,3,5.207362
-1.0,6,5.213207
0.0,3,5.21594
-1.0,10,5.223664
0.0,2,5.224761
0.0,9,5.229413
0.0,7,5.234289
-1.0,6,5.237318
0.0,4,5.239634
1.0,11,5.245382
0.0,33,5.265599
0.0,6,5.268623
0.0,4,5.270589
-1.0,7,5.27426
-1.0,6,5.277214
-1.0,14,5.285092
-1.0,19,5.294634
-1.0,6,5.298803
-1.0,18,5.307665
1.0,15,5.316254
0.0,3,5.317746
0.0,10,5.322801
0.0,3,5.324407
1.0,8,5.328278
0.0,5,5.331047
0.0,6,5.334633
-1.0,6,5.337533
0.0,21,5.348943
-1.0,7,5.352299
-1.0,14,5.359317
1.0,11,5.36567
-1.0,14,5.372484
-1.0,8,5.376319
-1.0,13,5.383811
0.0,13,5.390293
-1.0,21,5.401589
-1.0,3,5.403116
-1.0,8,5.407089
0.0,6,5.41003
-1.0,7,5.413318
0.0,18,5.423393
-1.0,3,5.424998
0.0,4,5.426934
0.0,20,5.44577
-1.0,18,5.465797
0.0,10,5.475819
0.0,4,5.479796
0.0,19,5.49937
0.0,12,5.505115
0.0,8,5.509181
0.0,14,5.51719
-1.0,5,5.519577
0.0,26,5.533424
0.0,15,5.540882
-1.0,17,5.550235
-1.0,6,5.553131
-1.0,10,5.558229
-1.0,4,5.560171
-1.0,9,5.565807
0.0,7,5.569153
0.0,3,5.570636
-1.0,11,5.576288
-1.0,8,5.580136
-1.0,14,5.587939
-1.0,9,5.592553
-1.0,4,5.59455
-1.0,13,5.602033
-1.0,12,5.608004
0.0,8,5.611917
0.0,5,5.615633
0.0,17,5.624063
0.0,5,5.626583
